"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\groupcompany\ViewAllGroupCompaniesPage.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 7, 26
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\groupcompany\forms\CreateGroupCompanyForm.js", "JavaScript", 0, 0, 186, 0, 0, 0, 0, 19, 205
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\groupcompany\forms\ViewAllGroupCompaniesForm.js", "JavaScript", 0, 0, 78, 0, 0, 0, 3, 14, 95
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\groupcompany\menus\GroupCompaniesMenu.js", "JavaScript", 0, 0, 45, 0, 0, 0, 3, 6, 54
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\legalentity\CreateLegalEntityPage.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 7, 37
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\legalentity\LegalEntityPage.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\legalentity\ViewAllLegalEntities.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 7, 26
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\legalentity\forms\CreateLegalEntityForm.js", "JavaScript", 0, 0, 181, 0, 0, 0, 0, 14, 195
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\legalentity\forms\ViewAllLegalEntitiesForm.js", "JavaScript", 0, 0, 81, 0, 0, 0, 4, 14, 99
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\legalentity\menus\LegalEntityMenu.js", "JavaScript", 0, 0, 45, 0, 0, 0, 3, 6, 54
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\setups\config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\taxcodes\TaxCodesPage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 2, 4, 23
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\taxcodes\ViewAllTaxCodesPage.js", "JavaScript", 0, 0, 23, 0, 0, 0, 2, 8, 33
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\taxcodes\forms\ViewAllTaxCodesForm.js", "JavaScript", 0, 0, 76, 0, 0, 0, 2, 12, 90
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\taxcodes\menus\ViewTaxCodesMenu.js", "JavaScript", 0, 0, 44, 0, 0, 0, 3, 6, 53
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\uoms\UOMPage.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\uoms\ViewAllUOMsPage.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 7, 26
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\uoms\forms\ViewAllUOMsForm.js", "JavaScript", 0, 0, 75, 0, 0, 0, 4, 14, 93
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\uoms\menus\UOMMenu.js", "JavaScript", 0, 0, 44, 0, 0, 0, 3, 6, 53
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\employee\CreateEmployeePage.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 6, 33
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\employee\EmployeePage.js", "JavaScript", 0, 0, 34, 0, 0, 0, 1, 5, 40
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\employee\ViewAllEmployeesPage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\employee\forms\CreateEmployeeForm.js", "JavaScript", 0, 0, 317, 0, 0, 0, 0, 34, 351
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\employee\forms\ViewAllEmployeesForm.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 11, 99
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\employee\menus\EmployeeMenu.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 5, 57
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\FinancePage.js", "JavaScript", 0, 0, 31, 0, 0, 0, 2, 5, 38
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\accounts\AccountsPage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 2, 20
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\accounts\CreateAccountPage.js", "JavaScript", 0, 0, 26, 0, 0, 0, 2, 6, 34
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\accounts\ViewAllAccountsPage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 4, 22
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\accounts\forms\CreateAccountForm.js", "JavaScript", 0, 0, 299, 0, 0, 0, 7, 30, 336
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\accounts\forms\ViewAllAccountsForm.js", "JavaScript", 0, 0, 77, 0, 0, 0, 1, 9, 87
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\accounts\menus\AccountsMenu.js", "JavaScript", 0, 0, 47, 0, 0, 0, 4, 8, 59
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\config\config.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 9, 64
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\journal\CreateJournalPage.js", "JavaScript", 0, 0, 24, 0, 0, 0, 2, 5, 31
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\finance\journal\JournalPage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 2, 20
